X,Y,token
-0.6531771,32.80987,circle
-5.497125,-13.77463,mr_elton
12.162315,1.0081019,",--"
6.4585857,-14.005816,whole
13.418125,11.414372,fitted
15.696936,-15.177784,comfortably
24.736412,-19.114353,shame
19.54184,8.685744,longer
16.564516,7.809421,joining
-5.0071473,23.078833,hands
10.448967,10.000657,same
-12.480103,1.374536,service
-23.532005,18.84507,shew
12.328506,22.0201,attention
4.262289,1.6000696,ask
7.364117,2.1834216,dare_say
-9.572899,4.24566,laughing
23.679672,-16.832163,invite
-1.5427401,24.354403,fish
0.4405961,-17.763462,chuse
12.681273,-0.016934752,six
-11.8793955,-25.321941,care
3.683656,-7.6019588,ii
-14.703542,-12.253242,native
-14.329494,-28.43586,born
-5.8366013,17.45123,respectable
16.39612,-10.146439,generations
25.598228,-21.110842,rising
-10.1917095,2.9781363,property
-3.86593,11.390657,received
-30.044247,4.286053,education
2.1730063,19.110876,succeeding
22.965176,0.14221205,small
3.7928762,3.1745741,become
-11.11754,-2.2335958,homely
-4.9690447,-13.527587,pursuits
32.01637,-11.58512,brothers
4.6477027,-5.4918094,engaged
-1.0886729,10.909088,satisfied
-1.7367095,13.910905,active
-8.186597,25.842957,social
22.607094,17.88425,entering
-18.85455,4.9095945,county
14.956061,-12.386898,captain
-2.3024104,-19.264652,general
-21.998045,-13.304281,favourite
-5.8746963,-2.9889138,military
-1.7357588,20.11089,introduced
-1.7605866,0.9914525,churchill
8.069805,16.059425,yorkshire
-6.8945007,-18.304415,fell
11.3030405,18.387362,love
-15.755688,-11.235938,surprized
10.946568,-14.521881,except
11.652295,-18.80335,full
0.17571205,-8.364069,pride
24.757948,-19.107157,importance
-6.0362053,-4.7478833,connexion
-9.0729065,15.439818,offend
30.704327,1.9211563,command
-5.9869604,23.296883,bore
-20.80172,19.452026,proportion
-24.839071,10.212119,estate
-2.4468927,23.311398,took
14.041997,-3.9925258,infinite
-14.885745,17.007275,mortification
6.543876,-11.41363,mrs
2.2352219,19.998571,threw
-18.682346,26.6895,due
-0.5515677,-7.527211,decorum
-20.39921,13.953844,produce
4.3798575,-23.93953,ought
20.972183,10.311366,whose
-8.994454,2.6112037,warm
10.348003,-5.493046,sweet
-0.60531473,18.731167,return
18.462078,0.54760206,goodness
18.20077,2.2148144,spirit
5.3752337,-4.33072,resolution
